shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
LBIFERRY_IN,39.579345,-74.339891,24,
LBIFERRY_IN,39.579616,-74.339851,25,
LBIFERRY_IN,39.579867,-74.339652,26,
LBIFERRY_IN,39.580056,-74.339358,27,
LBIFERRY_IN,39.580266,-74.339197,28,
LBIFERRY_IN,39.580483,-74.339164,29,
LBIFERRY_IN,39.58074,-74.339214,30,
LBIFERRY_IN,39.581128,-74.339649,31,
LBIFERRY_IN,39.581417,-74.339998,32,
LBIFERRY_IN,39.581669,-74.340132,33,
LBIFERRY_IN,39.581912,-74.340151,34,
LBIFERRY_IN,39.582284,-74.340022,35,
LBIFERRY_IN,39.582581,-74.339818,36,
LBIFERRY_IN,39.582743,-74.3398,37,
LBIFERRY_IN,39.582943,-74.339907,38,
LBIFERRY_IN,39.583026,-74.340075,39,
LBIFERRY_IN,39.583048,-74.340322,40,
LBIFERRY_IN,39.583059,-74.340585,41,
LBIFERRY_IN,39.583104,-74.340763,42,
LBIFERRY_IN,39.583178,-74.340857,43,
LBIFERRY_IN,39.583368,-74.340932,44,
LBIFERRY_IN,39.58361,-74.340942,45,
LBIFERRY_IN,39.583871,-74.34084,46,
LBIFERRY_IN,39.584056,-74.340686,47,
LBIFERRY_IN,39.584231,-74.34066,48,
LBIFERRY_IN,39.584412,-74.340717,49,
LBIFERRY_IN,39.585317,-74.341595,50,
LBIFERRY_IN,39.585539,-74.341763,51,
LBIFERRY_IN,39.585766,-74.341747,52,
LBIFERRY_IN,39.58604,-74.341599,53,
LBIFERRY_IN,39.586347,-74.341582,54,
LBIFERRY_IN,39.586732,-74.341785,55,
LBIFERRY_IN,39.586937,-74.341837,56,
LBIFERRY_IN,39.587127,-74.341764,57,
LBIFERRY_IN,39.588042,-74.340865,58,
LBIFERRY_IN,39.588475,-74.340525,59,
LBIFERRY_IN,39.588734,-74.340442,60,
LBIFERRY_IN,39.588986,-74.340568,61,
LBIFERRY_IN,39.589212,-74.340781,62,
LBIFERRY_IN,39.58939,-74.340836,63,
