cluster,geometry,totalPickUp,totalDropOff,stopTimeCount,stop_lon,stop_lat,nearest_distance
7803,POINT (-74.238623 40.65130800000001),0,0,343,-74.238623,40.65130800000001,243.94907829473132
7804,POINT (-74.27854599998778 40.62262350007882),0,0,345,-74.27854599998778,40.62262350007882,239.14691896797447
7805,POINT (-74.292801 40.584067000000005),0,0,35,-74.292801,40.584067000000005,353.6245931347527
7806,POINT (-74.26244 40.639478),0,0,168,-74.26244,40.639478,107.56005414188148
7807,POINT (-74.28055150124997 40.62088300051491),0,0,345,-74.28055150124997,40.62088300051491,257.34877760702517
7808,POINT (-74.286891 40.609248),0,0,136,-74.286891,40.609248,286.6891043202694
7809,POINT (-74.249043 40.64719),0,0,168,-74.249043,40.64719,188.65070912291864
7810,POINT (-74.245942 40.648179),0,0,343,-74.245942,40.648179,223.49442443052752
7811,POINT (-74.25984 40.642486999999996),0,0,168,-74.25984,40.642486999999996,154.68898580426017
7812,POINT (-74.267744 40.633538),0,0,343,-74.267744,40.633538,190.4688467900875
7813,POINT (-74.2703930017235 40.630398500466576),0,0,511,-74.2703930017235,40.630398500466576,155.35541560402328
7814,POINT (-74.250411 40.64585),0,0,343,-74.250411,40.64585,188.65070912291864
7815,POINT (-74.23366 40.654168999999996),0,0,343,-74.23366,40.654168999999996,222.08221899206814
7816,POINT (-74.28404750093978 40.61741950021624),0,0,206,-74.28404750093978,40.61741950021624,205.51281130948308
7817,POINT (-74.2711 40.629109),0,0,175,-74.2711,40.629109,126.75103024584475
7818,POINT (-74.26906 40.632147999999994),0,0,175,-74.26906,40.632147999999994,190.4688467900875
7819,POINT (-74.252833 40.64484900000001),0,0,175,-74.252833,40.64484900000001,233.13869905854864
7820,POINT (-74.28778 40.60676),0,0,70,-74.28778,40.60676,174.54226360712576
7821,POINT (-74.255674 40.64426799999999),0,0,343,-74.255674,40.64426799999999,248.82478989191807
7822,POINT (-74.24356600022259 40.649058500607914),0,0,343,-74.24356600022259,40.649058500607914,183.3306751805061
7823,POINT (-74.236291 40.652599),0,0,343,-74.236291,40.652599,243.94907829473132
7824,POINT (-74.28999 40.60150899999999),0,0,70,-74.28999,40.60150899999999,234.97666800727754
7825,POINT (-74.25849250154134 40.643468500611405),0,0,448,-74.25849250154134,40.643468500611405,157.79907096517485
7826,POINT (-74.27668100000001 40.62424),0,0,169,-74.27668100000001,40.62424,200.28428181300433
7827,POINT (-74.271742 40.628079),0,0,345,-74.271742,40.628079,126.75103024584475
7828,POINT (-74.274961 40.625478),0,0,345,-74.274961,40.625478,200.28428181300433
