ActualBusStop,PredictedBusStop,Error,PopulationSum,HospitalSum,ShoppingMalSum,pickUpSum,dropOffSum,stopTimeSum,radius(miles),radius(meters),centroid,lon,lat
1.0,0.47,0.53,107,0.0,0.0,0.0,0.0,194.0,0.45,724.72,POINT (-75.1137100700311 39.41433221625947),-75.114,39.414
4.0,1.6,2.4,1360,0.0,1.0,0.0,0.0,513.0,0.45,724.72,POINT (-75.11420493470845 39.71666464809898),-75.114,39.717
3.0,1.33,1.67,1212,0.0,0.0,0.0,0.0,361.0,0.45,724.72,POINT (-75.1142548327527 39.74689702303991),-75.114,39.747
3.0,5.81,-2.81,3309,0.0,0.0,15.0,0.0,3069.0,0.45,724.72,POINT (-75.11450545551206 39.89805652739157),-75.115,39.898
15.0,8.46,6.54,5217,0.0,0.0,0.0,0.0,4332.0,0.45,724.72,POINT (-75.11455580746077 39.92828795398502),-75.115,39.928
5.0,3.15,1.85,3149,0.0,0.0,0.0,0.0,917.0,0.45,724.72,POINT (-75.11460623550633 39.95851922241826),-75.115,39.959
5.0,0.99,4.01,602,0.0,0.0,0.0,0.0,376.0,0.45,724.72,POINT (-75.10282011686108 39.77713998271926),-75.103,39.777
1.0,1.23,-0.23,1299,0.0,0.0,0.0,0.0,229.0,0.45,724.72,POINT (-75.10291022533652 39.83760396548813),-75.103,39.838
7.0,3.23,3.77,3534,0.0,0.0,0.0,0.0,784.0,0.45,724.72,POINT (-75.1030006062387 39.898067316005346),-75.103,39.898
10.0,8.51,1.49,9731,0.0,0.0,0.0,0.0,2103.0,0.45,724.72,POINT (-75.10304589913638 39.92829875409654),-75.103,39.928
1.0,1.17,-0.17,1153,0.0,0.0,0.0,0.0,249.0,0.45,724.72,POINT (-75.10309126048519 39.95853003403749),-75.103,39.959
3.0,2.06,0.94,2534,0.0,0.0,0.0,0.0,305.0,0.45,724.72,POINT (-75.09117605717557 39.65621968674547),-75.091,39.656
2.0,1.4,0.6,1951,0.0,0.0,0.0,0.0,48.0,0.45,724.72,POINT (-75.09133542175952 39.77714958898513),-75.091,39.777
2.0,0.67,1.33,17,0.0,0.0,0.0,0.0,402.0,0.45,724.72,POINT (-75.09141546542796 39.837613592254556),-75.091,39.838
2.0,1.87,0.13,2517,0.0,0.0,0.0,0.0,152.0,0.45,724.72,POINT (-75.09145557796045 39.867845356822876),-75.091,39.868
6.0,2.96,3.04,3036,0.0,0.0,0.0,0.0,813.0,0.45,724.72,POINT (-75.09149575109406 39.89807696330785),-75.091,39.898
6.0,1.54,4.46,951,1.0,0.0,0.0,0.0,663.0,0.45,724.72,POINT (-75.09153598493081 39.928308411680455),-75.092,39.928
5.0,5.0,0.0,5011,0.0,0.0,0.0,0.0,1529.0,0.45,724.72,POINT (-75.09157627957296 39.95853970191175),-75.092,39.959
1.0,0.54,0.46,371,0.0,0.0,0.0,0.0,120.0,0.45,724.72,POINT (-75.07967669533538 39.62599524117874),-75.08,39.626
2.0,0.85,1.15,1021,0.0,0.0,0.0,0.0,48.0,0.45,724.72,POINT (-75.07981581117195 39.74692581112492),-75.08,39.747
3.0,1.83,1.17,2190,0.0,0.0,0.0,0.0,285.0,0.45,724.72,POINT (-75.07992070032141 39.837622080137585),-75.08,39.838
6.0,3.52,2.48,2612,0.0,0.0,0.0,0.0,1494.0,0.45,724.72,POINT (-75.07995576903716 39.86785385375527),-75.08,39.868
9.0,3.69,5.31,3657,0.0,0.0,0.0,0.0,1114.0,0.45,724.72,POINT (-75.07999089073395 39.898085469297484),-75.08,39.898
3.0,1.08,1.92,1383,0.0,0.0,0.0,0.0,63.0,0.45,724.72,POINT (-75.08002606550099 39.92831692673515),-75.08,39.928
7.0,5.24,1.76,5561,0.0,0.0,0.0,0.0,1457.0,0.45,724.72,POINT (-75.08006129342768 39.958548226039404),-75.08,39.959
1.0,0.62,0.38,494,0.0,0.0,0.0,0.0,120.0,0.45,724.72,POINT (-75.06818735543372 39.59576949058466),-75.068,39.596
2.0,1.61,0.39,2295,0.0,0.0,0.0,0.0,48.0,0.45,724.72,POINT (-75.06833612740151 39.74693313665831),-75.068,39.747
7.0,2.53,4.47,1816,0.0,0.0,0.0,0.0,1060.0,0.45,724.72,POINT (-75.06839595106393 39.807397489643485),-75.068,39.807
4.0,2.66,1.34,2342,0.0,0.0,0.0,0.0,910.0,0.45,724.72,POINT (-75.0684259306705 39.8376294291358),-75.068,39.838
8.0,3.65,4.35,3787,0.0,0.0,0.0,0.0,1012.0,0.45,724.72,POINT (-75.06848602581417 39.898092833972775),-75.068,39.898
5.0,2.71,2.29,3232,0.0,1.0,0.0,0.0,500.0,0.45,724.72,POINT (-75.0685161415038 39.92832429925921),-75.069,39.928
11.0,6.25,4.75,7570,0.0,0.0,0.0,0.0,1294.0,0.45,724.72,POINT (-75.06854630270732 39.95855560641901),-75.069,39.959
1.0,0.39,0.61,310,0.0,0.0,0.0,0.0,21.0,0.45,724.72,POINT (-75.05670801551898 39.56554243863033),-75.057,39.566
3.0,1.25,1.75,889,0.0,0.0,0.0,0.0,450.0,0.45,724.72,POINT (-75.05688130797725 39.777171589028626),-75.057,39.777
6.0,2.47,3.53,2885,0.0,0.0,0.0,0.0,475.0,0.45,724.72,POINT (-75.05695613818924 39.86786742732171),-75.057,39.868
4.0,2.95,1.05,3854,0.0,0.0,0.0,0.0,392.0,0.45,724.72,POINT (-75.0569811569905 39.89809905733252),-75.057,39.898
4.0,1.7,2.3,1676,0.0,0.0,0.0,0.0,436.0,0.45,724.72,POINT (-75.05700621359617 39.92833052925137),-75.057,39.928
11.0,4.33,6.67,4554,0.0,0.0,0.0,0.0,1201.0,0.45,724.72,POINT (-75.05703130806992 39.95856184304936),-75.057,39.959
2.0,0.81,1.19,412,0.0,0.0,0.0,0.0,327.0,0.45,724.72,POINT (-75.04517991458266 39.44461302545537),-75.045,39.445
4.0,2.42,1.58,1891,0.0,0.0,0.0,0.0,932.0,0.45,724.72,POINT (-75.04519946479431 39.47484687097115),-75.045,39.475
