shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
NorthboundShape2,40.65579,-74.12514,52,1.429
NorthboundShape2,40.65603,-74.12492,53,1.462
NorthboundShape2,40.65637,-74.12464,54,1.506
NorthboundShape2,40.65649,-74.12454,55,1.522
NorthboundShape2,40.65665,-74.12441,56,1.543
NorthboundShape2,40.65695,-74.12415,57,1.583
NorthboundShape2,40.65707,-74.12406,58,1.598
NorthboundShape2,40.65753,-74.12367,59,1.659
NorthboundShape2,40.65817,-74.12314,60,1.743
NorthboundShape2,40.65898,-74.12245,61,1.85
NorthboundShape2,40.65904,-74.1224,62,1.858
NorthboundShape2,40.65965,-74.12189,63,1.939
NorthboundShape2,40.65978,-74.12178,64,1.956
NorthboundShape2,40.65989,-74.12167,65,1.971
NorthboundShape2,40.66005,-74.12154,66,1.992
NorthboundShape2,40.66024,-74.12138,67,2.017
NorthboundShape2,40.66051,-74.12114,68,2.053
NorthboundShape2,40.66082,-74.12089,69,2.094
NorthboundShape2,40.66139,-74.12039,70,2.17
NorthboundShape2,40.66169,-74.12014,71,2.209
NorthboundShape2,40.66198,-74.1199,72,2.247
NorthboundShape2,40.66222,-74.11971,73,2.279
NorthboundShape2,40.66224,-74.11969,74,2.281
NorthboundShape2,40.66257,-74.11942,75,2.325
NorthboundShape2,40.66316,-74.1189,76,2.404
NorthboundShape2,40.66397,-74.11822,77,2.51
NorthboundShape2,40.66479,-74.11754,78,2.618
NorthboundShape2,40.66562,-74.11685,79,2.727
NorthboundShape2,40.66648,-74.11613,80,2.84
NorthboundShape2,40.66717,-74.11554,81,2.932
NorthboundShape2,40.66723,-74.11548,82,2.94
NorthboundShape2,40.66797,-74.11485,83,3.038
NorthboundShape2,40.66815,-74.1147,84,3.062
NorthboundShape2,40.66856,-74.11437,85,3.115
NorthboundShape2,40.66916,-74.11386,86,3.195
NorthboundShape2,40.66944,-74.11363,87,3.231
NorthboundShape2,40.66951,-74.11357,88,3.241
NorthboundShape2,40.67008,-74.11308,89,3.316
NorthboundShape2,40.67045,-74.11276,90,3.365
NorthboundShape2,40.67062,-74.11262,91,3.388
NorthboundShape2,40.67079,-74.11247,92,3.411
NorthboundShape2,40.67108,-74.11223,93,3.449
NorthboundShape2,40.67159,-74.11178,94,3.517
NorthboundShape2,40.67212,-74.11133,95,3.587
NorthboundShape2,40.67317,-74.11043,96,3.726
NorthboundShape2,40.67378,-74.10993,97,3.806
NorthboundShape2,40.67438,-74.10942,98,3.885
NorthboundShape2,40.67496,-74.10892,99,3.962
NorthboundShape2,40.67558,-74.10841,100,4.044
NorthboundShape2,40.67618,-74.1079,101,4.123
NorthboundShape2,40.67643,-74.10769,102,4.156
NorthboundShape2,40.67678,-74.10739,103,4.202
NorthboundShape2,40.67738,-74.10688,104,4.282
NorthboundShape2,40.67797,-74.10639,105,4.359
NorthboundShape2,40.67859,-74.10587,106,4.441
NorthboundShape2,40.67918,-74.10536,107,4.52
NorthboundShape2,40.67979,-74.10485,108,4.6
NorthboundShape2,40.68039,-74.10436,109,4.678
NorthboundShape2,40.68099,-74.10383,110,4.759
NorthboundShape2,40.68157,-74.10334,111,4.835
NorthboundShape2,40.68196,-74.103,112,4.887
NorthboundShape2,40.68218,-74.10282,113,4.916
NorthboundShape2,40.68278,-74.10233,114,4.994
NorthboundShape2,40.68338,-74.10182,115,5.074
NorthboundShape2,40.68398,-74.10133,116,5.152
NorthboundShape2,40.68433,-74.10103,117,5.199
NorthboundShape2,40.68436,-74.101,118,5.203
NorthboundShape2,40.68458,-74.10082,119,5.232
NorthboundShape2,40.68482,-74.10062,120,5.263
NorthboundShape2,40.68511,-74.10037,121,5.302
NorthboundShape2,40.6852,-74.1003,122,5.313
NorthboundShape2,40.68529,-74.10022,123,5.326
NorthboundShape2,40.68555,-74.1,124,5.36
NorthboundShape2,40.68565,-74.09992,125,5.373
NorthboundShape2,40.68574,-74.09985,126,5.384
NorthboundShape2,40.68578,-74.09982,127,5.39
NorthboundShape2,40.68591,-74.10008,128,5.416
NorthboundShape2,40.68607,-74.1004,129,5.448
NorthboundShape2,40.68684,-74.10194,130,5.604
NorthboundShape2,40.68693,-74.10212,131,5.622
NorthboundShape2,40.68703,-74.10232,132,5.642
NorthboundShape2,40.68761,-74.10351,133,5.761
NorthboundShape2,40.68761,-74.10352,134,5.762
NorthboundShape2,40.68806,-74.10444,135,5.855
NorthboundShape2,40.68889,-74.10613,136,6.024
NorthboundShape2,40.68912,-74.10593,137,6.055
NorthboundShape2,40.68919,-74.10587,138,6.064
NorthboundShape2,40.68925,-74.10583,139,6.072
NorthboundShape2,40.68934,-74.10575,140,6.084
NorthboundShape2,40.6895,-74.10562,141,6.105
NorthboundShape2,40.68988,-74.1053,142,6.155
NorthboundShape2,40.68998,-74.10521,143,6.168
NorthboundShape2,40.69009,-74.10512,144,6.183
NorthboundShape2,40.69034,-74.10491,145,6.216
NorthboundShape2,40.69063,-74.10468,146,6.253
NorthboundShape2,40.69068,-74.10456,147,6.265
NorthboundShape2,40.69078,-74.10447,148,6.278
NorthboundShape2,40.69085,-74.1044,149,6.288
NorthboundShape2,40.69096,-74.10429,150,6.303
NorthboundShape2,40.6911,-74.10415,151,6.323
NorthboundShape2,40.6912,-74.10408,152,6.335
NorthboundShape2,40.69126,-74.10403,153,6.343
NorthboundShape2,40.69156,-74.10379,154,6.382
NorthboundShape2,40.69156,-74.10378,155,6.383
NorthboundShape2,40.69182,-74.10357,156,6.417
NorthboundShape2,40.6923,-74.10318,157,6.48
NorthboundShape2,40.69241,-74.10309,158,6.494
NorthboundShape2,40.69242,-74.10308,159,6.496
NorthboundShape2,40.69255,-74.10293,160,6.515
NorthboundShape2,40.69259,-74.10287,161,6.522
NorthboundShape2,40.69263,-74.10281,162,6.528
NorthboundShape2,40.69266,-74.10275,163,6.534
NorthboundShape2,40.69267,-74.10272,164,6.537
