shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
R1,41.05211,-74.6186,2641
R1,41.05157,-74.61908,2651
R1,41.05048,-74.61984,2661
R1,41.0496,-74.62074,2671
R1,41.0479,-74.6223,2681
R1,41.0473,-74.62294,2691
R1,41.04531,-74.62624,2701
R1,41.0447,-74.62753,2711
R1,41.04448,-74.6282,2721
R1,41.04405,-74.63091,2731
R1,41.04377,-74.63216,2741
R1,41.04352,-74.63296,2751
R1,41.04322,-74.63373,2761
R1,41.04266,-74.6349,2771
R1,41.0419,-74.63614,2781
R1,41.041696,-74.635194,2791
R1,41.0419,-74.63614,2801
R1,41.0409,-74.63791,2811
R1,41.04038,-74.63908,2821
R1,41.04015,-74.63972,2831
R1,41.03998,-74.64024,2841
R1,41.03977,-74.64122,2851
R1,41.03966,-74.6424,2861
R1,41.03894,-74.64177,2871
R1,41.03815,-74.64083,2881
R1,41.03762,-74.63988,2891
R1,41.03608,-74.63661,2901
R1,41.03594,-74.63673,2911
R1,41.03486,-74.6376,2921
R1,41.03446,-74.63776,2931
R1,41.03419,-74.63784,2941
R1,41.03219,-74.63814,2951
R1,41.03179,-74.63797,2961
R1,41.03159,-74.63778,2971
R1,41.03081,-74.63665,2981
R1,41.030651,-74.636157,2991
R1,41.030863,-74.635921,3001
R1,41.031294,-74.636685,3011
R1,41.031209,-74.637063,3021
R1,41.03159,-74.63778,3031
R1,41.03179,-74.63797,3041
R1,41.03219,-74.63814,3051
R1,41.03419,-74.63784,3061
R1,41.03461,-74.63769,3071
R1,41.03482,-74.63745,3081
R1,41.03492,-74.63722,3091
R1,41.03493,-74.63709,3101
R1,41.03484,-74.63657,3111
R1,41.03495,-74.63626,3121
R1,41.03534,-74.63576,3131
R1,41.03545,-74.63571,3141
R1,41.03558,-74.63575,3151
R1,41.03563,-74.63582,3161
R1,41.03608,-74.63661,3171
R1,41.03762,-74.63988,3181
R1,41.03815,-74.64083,3191
R1,41.03894,-74.64177,3201
R1,41.03966,-74.6424,3211
R1,41.03965,-74.64485,3221
R1,41.03952,-74.64698,3231
R1,41.03922,-74.65073,3241
R1,41.03907,-74.65152,3251
R1,41.03884,-74.65229,3261
R1,41.03807,-74.65396,3271
R1,41.03792,-74.65442,3281
R1,41.0376,-74.65643,3291
R1,41.03729,-74.65757,3301
R1,41.03693,-74.65857,3311
R1,41.03659,-74.65931,3321
R1,41.03595,-74.66027,3331
R1,41.03484,-74.66134,3341
R1,41.03436,-74.66196,3351
R1,41.03419,-74.66229,3361
R1,41.03401,-74.66286,3371
R1,41.03392,-74.66345,3381
R1,41.03392,-74.66385,3391
R1,41.03398,-74.66429,3401
R1,41.03416,-74.66491,3411
R1,41.03528,-74.66713,3421
R1,41.03624,-74.66919,3431
R1,41.03642,-74.66968,3441
R1,41.03659,-74.67053,3451
R1,41.03661,-74.67116,3461
R1,41.03655,-74.67252,3471
R1,41.03657,-74.67295,3481
R1,41.0367,-74.67368,3491
R1,41.03701,-74.67448,3501
R1,41.03821,-74.67697,3511
R1,41.03852,-74.67782,3521
R1,41.03911,-74.68042,3531
R1,41.03923,-74.68127,3541
R1,41.03922,-74.68212,3551
R1,41.03907,-74.68301,3561
R1,41.03876,-74.68386,3571
R1,41.03748,-74.68599,3581
R1,41.03707,-74.68683,3591
R1,41.03576,-74.69027,3601
R1,41.0356,-74.69116,3611
R1,41.03557,-74.69199,3621
R1,41.03562,-74.69259,3631
R1,41.03725,-74.70019,3641
R1,41.03745,-74.70091,3651
R1,41.03907,-74.70023,3661
R1,41.04125,-74.69979,3671
R1,41.04168,-74.69964,3681
R1,41.04249,-74.69906,3691
R1,41.04314,-74.69851,3701
R1,41.04351,-74.69804,3711
R1,41.04408,-74.69714,3721
R1,41.04479,-74.69783,3731
R1,41.04504,-74.69801,3741
R1,41.0457,-74.69812,3751
R1,41.04568,-74.6995,3761
R1,41.04568,-74.6995,3771
R1,41.04566,-74.70282,3781
R1,41.04545,-74.70442,3791
R1,41.04521,-74.7058,3801
R1,41.04465,-74.70829,3811
R1,41.04406,-74.70957,3821
R1,41.04373,-74.71072,3831
R1,41.04249,-74.71674,3841
R1,41.04244,-74.71727,3851
R1,41.04251,-74.71781,3861
R1,41.0426,-74.71813,3871
R1,41.04336,-74.72004,3881
R1,41.04248,-74.72057,3891
R1,41.04164,-74.72097,3901
R1,41.04147,-74.72101,3911
R1,41.04215,-74.72504,3921
R1,41.04228,-74.72609,3931
R1,41.04267,-74.73152,3941
R1,41.04265,-74.73218,3951
R1,41.04204,-74.73686,3961
R1,41.04202,-74.73755,3971
R1,41.04205,-74.73789,3981
R1,41.04216,-74.73833,3991
R1,41.04227,-74.73851,4001
R1,41.04255,-74.73877,4011
R1,41.04344,-74.73908,4021
R1,41.04393,-74.73947,4031
R1,41.04658,-74.74289,4041
R1,41.04722,-74.74398,4051
R1,41.04806,-74.74635,4061
R1,41.04831,-74.74691,4071
R1,41.04863,-74.74737,4081
R1,41.0509,-74.74934,4091
R1,41.05154,-74.74974,4101
R1,41.05232,-74.75007,4111
R1,41.0525,-74.75009,4121
R1,41.05362,-74.74958,4131
R1,41.05403,-74.74927,4141
R1,41.05462,-74.74916,4151
R1,41.05465,-74.74872,4161
R1,41.05473,-74.74854,4171
R1,41.05473,-74.74854,4181
R1,41.05465,-74.74872,4191
R1,41.055849,-74.747181,4201
R1,41.059566,-74.752275,4211
R1,41.059795,-74.752715,4221
R1,41.05862,-74.75345,4231
R1,41.05855,-74.75376,4241
R1,41.05843,-74.75402,4251
R1,41.05809,-74.75446,4261
R1,41.05756,-74.75533,4271
R1,41.05693,-74.75721,4281
R1,41.05691,-74.75749,4291
R1,41.05704,-74.76191,4301
R1,41.057,-74.76225,4311
R1,41.05591,-74.76443,4321
R1,41.055637,-74.764988,4331
R1,41.05591,-74.76545,4341
R1,41.056494,-74.766371,4351
R1,41.05734,-74.7668,4361
R1,41.05813,-74.7663,4371
R1,41.05838,-74.7663,4381
R1,41.058181,-74.766791,4391
R1,41.057245,-74.767901,4401
R1,41.05633,-74.76882,4411
R1,41.05631,-74.76872,4421
R1,41.05612,-74.7685,4431
R1,41.05454,-74.76698,4441
R1,41.05591,-74.76443,4451
R1,41.057,-74.76225,4461
R1,41.05704,-74.76191,4471
R1,41.05691,-74.75749,4481
R1,41.05693,-74.75721,4491
R1,41.05756,-74.75533,4501
R1,41.05835,-74.7541,4511
R1,41.05836,-74.75399,4521
R1,41.05835,-74.75389,4531
R1,41.05824,-74.75368,4541
R1,41.05768,-74.75287,4551
R1,41.05806,-74.75244,4561
R1,41.05844,-74.75299,4571
R1,41.05871,-74.75308,4581
R1,41.05939,-74.75305,4591
R1,41.05975,-74.75278,4601
R1,41.06038,-74.75396,4611
R1,41.06099,-74.75499,4621
R1,41.06136,-74.75549,4631
R1,41.06167,-74.7557,4641
R1,41.06196,-74.75578,4651
R1,41.06289,-74.75574,4661
R1,41.06397,-74.75548,4671
R1,41.0644,-74.75532,4681
R1,41.0663,-74.75435,4691
R1,41.06718,-74.75383,4701
R1,41.06698,-74.75293,4711
R1,41.06668,-74.75313,4721
R1,41.066222,-74.754356,4731
R1,41.06718,-74.75383,4741
